Peak #,X,Y
1,6.444206840738534,9.60790072974543
2,4.445098412896679,24.423444480508365
3,23.273217789913275,18.011949822517824
4,37.981918115123094,9.578814596253348
5,5.1360018611094675,42.68901956300585
6,22.238582077464734,32.17056923314216
7,37.00413909499276,24.462828773700508
8,60.85700653598431,12.491058072768551
9,6.294138351497745,62.76378349852694
10,20.999046390764605,52.648159269839155
11,35.69452113993741,40.5159900371779
12,48.63516866657027,28.83271982073101
13,61.91601881944616,23.47923156372493
14,78.53938985940354,19.124064195411595
15,91.7719620289255,13.770377582994843
16,6.533169161145576,80.61645536939866
17,19.700033071490772,72.59447780933156
18,33.213578182973265,60.30541206018178
19,48.13093541151995,49.63357794011127
20,64.2812105553065,40.492300817757155
21,81.89938784345367,31.448511294857703
22,103.39563689679649,18.30018262653345
23,120.15312268467275,10.46188729153085
24,20.998239480124784,88.58572855544695
25,33.967283570660456,82.06970211105951
26,48.67747829685949,69.4050797609286
27,63.17383425499054,59.164450397269206
28,82.09206820891949,49.29031148165891
29,93.41464119388857,39.56266642057798
30,103.41861919300445,33.78800913524421
31,120.94939392437979,27.02841135305229
32,136.9271194314179,16.163336289705196
33,152.1845210713694,8.517020457980978
34,6.039076997433325,106.6292139925855
35,22.236214638702663,97.8548075850561
36,45.03264248907732,90.03665845280278
37,61.58060811407356,78.80058628949409
38,81.1177045744482,66.64001061759193
39,95.83504197129962,60.73755974985696
40,106.70518744240732,51.87509758870883
41,119.84859464826805,44.881172980060185
42,136.60047794085867,33.328197336358
43,152.13627960909298,24.540581973830253
44,166.94951810389853,16.01082522491865
45,180.68342968399025,7.5050185810336725
46,6.800040003925153,126.44646538443062
47,22.262154111315827,114.55127859219805
48,37.350812061215976,107.58274103235766
49,44.003810041856696,104.01602517073849
50,60.02908431777304,96.71605875190613
51,78.27682950408419,84.60528795886479
52,95.80749135100496,75.28886760767415
53,118.82915851187148,60.18744327793466
54,136.6988952492294,50.83744882441734
55,151.98946731343767,43.62815748668788
56,166.94226036246488,35.02431883429868
57,180.6833062831566,26.515071895370635
58,196.4145554627158,16.01000882373101
59,212.14562673550932,7.5050042624101305
60,6.135948391409672,146.03591982765693
