Peak#,X,Y,Phase
1,963,938,Tpp
2,967,882,Tpp
3,79,859,Tpp
4,85,424,Tpp
5,981,303,Tpp
6,535,827,Tpp
7,908,51,Tpp
8,983,143,Tpp
9,302,55,Tpp
10,51,777,Tpp
11,553,19,Tpp
12,1007,349,Tpp
13,123,846,Tpp
14,84,401,Tpp
15,926,858,Tpp
16,831,52,Tpp
17,28,182,Tpp
18,181,182,Tpp
19,930,951,Tpp
20,945,188,Tpp
21,899,614,Tpp
22,682,87,Tpp
23,904,950,Tpp
24,322,710,Tpp
25,16,616,Tpp
26,994,973,Tpp
27,173,56,Tpp
28,390,834,Tpp
29,269,960,Tpp
30,51,344,Tpp
31,979,83,Tpp
32,790,7,Tpp
33,65,205,Tpp
34,843,820,Tpp
35,850,131,Tpp
36,907,28,Tpp
37,38,321,Tpp
38,58,356,Tpp
39,823,222,Tpp
40,369,869,Tpp
41,976,637,Tpp
42,726,951,Tpp
43,964,752,Tpp
44,168,227,Tpp
45,235,882,Tpp
46,946,820,Tpp
47,969,303,Tpp
48,925,960,Tpp
49,193,112,Tpp
50,901,131,Tpp
51,837,40,Tpp
52,228,870,Tpp
53,232,296,Tpp
54,958,235,Tpp
55,96,173,Tpp
56,902,61,Tpp
57,207,640,Tpp
58,344,869,Tpp
59,322,112,Tpp
60,495,55,Tpp
61,161,308,Tpp
62,181,250,Tpp
63,688,144,Tpp
64,824,39,Tpp
65,207,295,Tpp
66,850,39,Tpp
67,388,858,Tpp
68,233,859,Tpp
69,920,51,Tpp
70,228,894,Tpp
71,727,283,Tpp
72,623,192,Tpp
73,15,114,Tpp
74,995,257,Tpp
75,252,846,Tpp
76,932,143,Tpp
77,102,159,Tpp
78,919,211,Tpp
79,970,627,Tpp
80,221,883,Tpp
81,256,111,Tpp
82,624,31,Tpp
83,955,489,Tpp
84,116,412,Tpp
85,855,121,Tpp
86,976,809,Tpp
87,109,309,Tpp
88,959,51,Tpp
89,1008,280,Tpp
90,103,319,Tpp
91,926,728,Tpp
92,901,39,Tpp
93,244,134,Tpp
94,1007,906,Tpp
95,966,834,Tpp
96,645,86,Tpp
97,117,159,Tpp
98,950,591,Tpp
99,174,240,Tpp
100,993,882,Tpp
101,169,883,Tpp
102,144,1018,Tpp
103,862,131,Tpp
104,77,344,Tpp
105,1010,119,Tpp
106,316,823,Tpp
107,124,605,Tpp
108,221,251,Tpp
109,722,410,Tpp
110,963,383,Tpp
111,706,707,Tpp
112,116,182,Tpp
113,966,107,Tpp
114,925,407,Tpp
115,810,834,Tpp
116,26,159,Tpp
117,949,383,Tpp
118,850,834,Tpp
119,173,847,Tpp
120,777,121,Tpp
121,990,809,Tpp
122,426,65,Tpp
123,491,179,Tpp
124,900,810,Tpp
125,60,821,Tpp
126,747,363,Tpp
127,66,810,Tpp
128,643,836,Tpp
129,223,10,Tpp
130,914,83,Tpp
131,707,317,Tpp
132,779,236,Tpp
133,84,355,Tpp
134,122,308,Tpp
135,199,55,Tpp
136,220,342,Tpp
137,791,212,Tpp
138,946,50,Tpp
139,1008,928,Tpp
140,874,810,Tpp
141,70,333,Tpp
142,840,971,Tpp
143,734,294,Tpp
144,649,122,Tpp
145,48,469,Tpp
146,7,127,Tpp
147,1022,303,Tpp
148,332,870,Tpp
149,1020,603,Tpp
150,950,960,Tpp
151,740,75,Tpp
152,438,227,Tpp
153,90,366,Tpp
154,565,18,Tpp
155,1003,106,Tpp
156,438,42,Tpp
157,815,281,Tpp
158,943,328,Tpp
159,863,858,Tpp
160,245,342,Tpp
161,226,240,Tpp
162,252,447,Tpp
163,777,213,Tpp
164,931,420,Tpp
165,971,119,Tpp
166,275,10,Tpp
167,217,938,None
168,91,342,Tpp
169,110,195,Tpp
170,840,719,Tpp
171,942,927,Tpp
172,229,938,None
173,764,951,Tpp
174,122,744,Tpp
175,995,280,Tpp
176,984,188,Tpp
177,348,180,Tpp
178,698,674,Tpp
179,1001,938,Tpp
180,707,752,Tpp
181,682,341,Tpp
182,365,951,Tpp
183,362,858,Tpp
184,19,951,Tpp
185,880,167,Tpp
186,885,752,Tpp
187,747,85,Tpp
188,32,334,Tpp
189,92,592,Tpp
190,968,650,Tpp
191,412,65,Tpp
192,456,146,Tpp
193,315,55,Tpp
194,302,10,Tpp
195,437,110,Tpp
196,168,295,Tpp
197,933,7,Tpp
198,1021,350,Tpp
199,238,308,Tpp
200,649,331,Tpp
201,694,318,Tpp
202,405,743,Tpp
203,939,153,Tpp
204,302,124,Tpp
205,994,741,Tpp
206,965,83,Tpp
207,871,869,Tpp
208,892,741,Tpp
209,900,290,Tpp
210,92,434,Tpp
211,1003,857,Tpp
212,258,733,Tpp
213,57,80,Tpp
214,721,859,Tpp
215,66,412,Tpp
216,708,787,Tpp
217,1022,211,Tpp
218,904,906,Tpp
219,232,640,Tpp
220,174,172,Tpp
221,116,227,Tpp
222,265,515,Tpp
223,764,673,Tpp
224,850,84,Tpp
225,1009,165,Tpp
226,773,131,Tpp
227,20,195,Tpp
228,73,468,Tpp
229,98,821,Tpp
230,245,836,Tpp
231,964,568,Tpp
232,783,708,Tpp
233,278,240,Tpp
234,104,366,Tpp
235,906,280,Tpp
236,352,101,Tpp
237,20,311,Tpp
238,513,434,Tpp
239,777,352,Tpp
240,531,882,Tpp
241,165,777,Tpp
242,976,199,Tpp
243,963,659,Tpp
244,337,858,Tpp
245,515,87,Tpp
246,103,67,Tpp
247,483,124,Tpp
248,752,121,Tpp
249,766,236,Tpp
250,367,55,Tpp
251,27,615,Tpp
252,984,27,Tpp
253,33,126,Tpp
254,174,606,Tpp
255,52,321,Tpp
256,495,101,Tpp
257,444,744,Tpp
258,558,100,Tpp
259,1021,5,Tpp
260,240,846,Tpp
261,926,453,Tpp
262,978,14,Tpp
263,64,91,Tpp
264,559,8,Tpp
265,815,906,Tpp
266,873,199,Tpp
267,7,35,None
268,861,291,Tpp
269,148,102,Tpp
270,765,213,Tpp
271,676,32,Tpp
272,918,466,Tpp
273,136,847,Tpp
274,89,183,Tpp
275,264,446,Tpp
276,26,1006,Tpp
277,415,859,Tpp
278,14,183,Tpp
279,220,296,Tpp
280,10,820,Tpp
281,59,845,Tpp
282,623,76,Tpp
283,28,639,Tpp
284,328,584,Tpp
285,791,490,Tpp
286,945,796,Tpp
287,315,264,Tpp
288,52,204,Tpp
289,930,673,Tpp
290,123,355,Tpp
291,193,319,Tpp
292,1007,950,Tpp
293,626,870,Tpp
294,624,10,Tpp
295,912,129,Tpp
296,867,513,Tpp
297,274,858,Tpp
298,303,170,Tpp
299,996,188,Tpp
300,798,131,Tpp
301,437,19,Tpp
302,482,77,Tpp
303,103,251,Tpp
304,712,720,Tpp
305,52,412,Tpp
306,866,327,Tpp
307,278,492,Tpp
308,494,491,Tpp
309,103,342,Tpp
310,495,32,Tpp
311,97,401,Tpp
312,856,844,Tpp
313,894,167,Tpp
314,657,109,Tpp
315,15,274,Tpp
316,991,833,Tpp
317,879,951,Tpp
318,997,49,Tpp
319,374,158,Tpp
320,751,606,Tpp
321,802,698,Tpp
322,431,100,Tpp
323,233,227,Tpp
324,77,183,Tpp
325,801,674,Tpp
326,840,281,Tpp
327,156,366,Tpp
328,880,327,Tpp
329,835,834,Tpp
330,886,706,Tpp
331,96,743,Tpp
332,750,674,Tpp
333,1019,464,Tpp
334,285,790,Tpp
335,202,870,Tpp
336,830,236,Tpp
337,662,927,Tpp
338,650,168,Tpp
339,815,650,Tpp
340,51,299,Tpp
341,956,905,Tpp
342,930,626,Tpp
343,323,616,Tpp
344,963,982,Tpp
345,790,144,Tpp
346,19,883,Tpp
347,51,390,Tpp
348,944,143,Tpp
349,263,309,Tpp
350,155,297,Tpp
351,109,172,Tpp
352,982,650,Tpp
353,168,182,Tpp
354,404,928,Tpp
355,759,291,Tpp
356,46,743,Tpp
357,893,280,Tpp
358,943,259,Tpp
359,129,159,Tpp
360,180,66,Tpp
361,395,869,Tpp
362,669,155,Tpp
363,580,110,Tpp
364,273,790,Tpp
365,954,84,Tpp
366,968,972,Tpp
367,996,166,Tpp
368,990,199,Tpp
369,193,366,Tpp
370,824,131,Tpp
371,259,858,Tpp
372,402,858,Tpp
373,566,982,Tpp
374,98,424,Tpp
375,891,883,Tpp
376,706,86,Tpp
377,188,652,Tpp
378,187,56,Tpp
379,919,143,Tpp
380,982,626,Tpp
381,131,615,Tpp
382,917,648,Tpp
383,1006,534,Tpp
384,122,195,Tpp
385,816,399,Tpp
386,385,754,Tpp
387,341,402,Tpp
388,155,525,Tpp
389,766,121,Tpp
390,226,584,Tpp
391,864,61,Tpp
392,733,223,Tpp
393,772,223,Tpp
394,706,662,Tpp
395,400,158,Tpp
396,893,189,Tpp
397,117,366,Tpp
398,374,111,Tpp
399,413,810,Tpp
400,199,847,Tpp
401,430,883,Tpp
402,417,309,Tpp
403,361,342,Tpp
404,879,741,Tpp
405,289,538,Tpp
406,433,844,Tpp
407,238,447,Tpp
408,373,617,Tpp
409,928,834,Tpp
410,393,148,Tpp
411,366,124,Tpp
412,790,951,Tpp
413,398,412,Tpp
414,280,868,Tpp
415,244,158,Tpp
416,719,753,Tpp
417,733,961,Tpp
418,857,52,Tpp
419,20,241,Tpp
420,320,962,Tpp
421,1007,696,Tpp
422,507,628,Tpp
423,727,399,Tpp
424,712,560,Tpp
425,493,309,Tpp
426,873,615,Tpp
427,835,385,Tpp
428,739,951,Tpp
429,957,1018,Tpp
430,746,131,Tpp
431,970,96,Tpp
432,901,84,Tpp
433,726,307,Tpp
434,635,882,Tpp
435,317,846,Tpp
436,116,730,Tpp
437,515,133,Tpp
438,366,101,Tpp
439,777,994,Tpp
